1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区市街地近郊 上空,,,,
20,Text,,吹き荒れる風。,,,,
30,Text,,蒼穹の中を、二つの影が落下していく。,,,,
40,Text,,《ALTITUDE：12000》,,,,
50,Text,,《WIND ERROR：MINOR》,,,,
60,Text,,《HALO Route：STABLE》,,,,
70,Text,Prelude,……寒っ！？,,,,
80,Text,Symphony,Prelude、うるさい,,,,
90,Text,Prelude,いや騒ぐでしょこれ！？,,,,
100,Text,Prelude,毎回思うけどHALOって人間がやるもんじゃないって！,,,,
110,Text,Symphony,私たちは人間じゃない,,,,
120,Text,Prelude,そういう返しやめて傷つくから！,,,,
130,Text,,青空の下。,,,,
140,Text,,広がる街のあちこちに立ち上がる黒煙。,,,,
150,Text,,行政中央区。,,,,
160,Text,,そこは、都市全体が戦場と化していた。,,,,
170,Text,,Triadの声が無線へ入る。,,,,
180,Text,Triad,降下地点まで残り30秒,,,,
190,Text,Triad,敵レーダー反応なし,,,,
200,Text,Prelude,そりゃこんな高さ見ないよねぇ,,,,
210,Text,Symphony,着地準備,,,,
220,Text,,《PARACHUTE READY》,,,,
230,Text,Symphony,3……2……1,,,,
240,Text,,――バシュッ！！,,,,
250,Text,,二つのパラシュートが青空に開く。,,,,
260,Text,,〇行政中央区郊外 廃墟地帯,,,,
270,Text,,着地。,,,,
280,Text,,Symphonyは静かに膝をつく。,,,,
290,Text,,周囲を確認。,,,,
300,Text,,崩れた建物。,,,,
310,Text,,草木。,,,,
320,Text,,遠方の銃撃音。,,,,
330,Text,Symphony,……着地成功,,,,
340,Text,,少し遅れてPreludeが地面へ転がる。,,,,
350,Text,Prelude,うわぁぁぁっ！,,,,
360,Text,Symphony,うるさい,,,,
370,Text,Prelude,はぁはぁ……！　ごめんって。普通キミみたいに綺麗に降りれないんだよ,,,,
380,Text,,Preludeが自分の身体に外傷がないか確認しながら小声で言う。,,,,
390,Text,,その時、Triadから無線が入った。,,,,
400,Text,Triad,二人とも、状況は,,,,
410,Text,Symphony,敵影なし,,,,
420,Text,Prelude,とりあえず生きてるよー,,,,
430,Text,Triad,よし,,,,
440,Text,Triad,まずは市街地外周を偵察しろ,,,,
450,Text,Symphony,了解,,,,
460,Text,,〇行政中央区東地区 外周部,,,,
470,Text,,半壊したビル屋上。,,,,
480,Text,,SymphonyとPreludeが双眼鏡を覗く。,,,,
490,Text,,その先に広がるのは、連邦軍占領区。,,,,
500,Text,,探照灯。,,,,
510,Text,,検問。,,,,
520,Text,,装甲車。,,,,
530,Text,,狙撃兵。,,,,
540,Text,,双眼鏡のレンズに次々と情報が表示されていく。,,,,
550,Text,,《Russian Army Formation Analysis》,,,,
560,Text,,《Enemy Density：HIGH》,,,,
570,Text,,《Heavy Armor Detected》,,,,
580,Text,Prelude,オウ、ノー……,,,,
590,Text,Prelude,やっぱり完全に要塞って感じだね,,,,
600,Text,Symphony,正面突破は不可能,,,,
610,Text,Prelude,だね,,,,
620,Text,Prelude,東側に兵力が偏ってるなぁ……,,,,
630,Text,Symphony,地下施設を守っている可能性がある,,,,
640,Text,Triad,ああ、だがまだ迂闊に近づかないように,,,,
650,Text,Triad,今は潜入経路を――,,,,
660,Text,,その瞬間だった。,,,,
670,Text,,――――ヒュゥゥゥゥ……,,,,
680,Text,Prelude,……え？,,,,
690,Text,Symphony,伏せろ！！,,,,
700,Text,,轟音。,,,,
710,Text,,――ドゴォォォン！！！,,,,
720,Text,,迫撃砲弾が近くへ着弾する。,,,,
730,Text,,爆炎。,,,,
740,Text,,瓦礫。,,,,
750,Text,Prelude,うわぁぁぁッ！？,,,,
760,Text,Symphony,迫撃砲……！,,,,
770,Text,,再び。,,,,
780,Text,,――ヒュゥゥゥゥ……,,,,
790,Text,,ドゴォォォォン！！,,,,
800,Text,,今度は市街地内部。,,,,
810,Text,,次々と爆発が起きる中、連邦軍の陣地へ向けて大量の人影が走り出した。,,,,
820,Text,Prelude,……反体制派！？,,,,
830,Text,Triad,市街地奪還作戦か！,,,,
840,Text,ゲリラ兵,突撃ぃぃぃっ！！,,,,
850,Text,ゲリラ兵,連邦軍を押し返すんだ！！,,,,
860,Text,,銃撃が一斉に始まり、市街地が一気に戦場へ変わる。,,,,
870,Text,Prelude,マジかよ、派手に始まったねぇ……,,,,
880,Text,Symphony,……好機,,,,
