1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区西地区 廃市街,,,,
20,Text,,崩れたアパート。,,,,
30,Text,,放置された装甲車。,,,,
40,Text,,遠くで響く砲撃音。,,,,
50,Text,,Preludeは瓦礫の陰へしゃがみ込み、双眼鏡を覗く。,,,,
60,Text,Prelude,……うわぁ,,,,
70,Text,Prelude,分かってはいたけど、流石に東側に兵力寄せすぎでしょ,,,,
80,Text,,Preludeの覗く双眼鏡に情報が表示されていく。,,,,
90,Text,,《Russian Army Formation Analysis》,,,,
100,Text,,《Eastern District：HIGH PRIORITY》,,,,
110,Text,,《Heavy Infantry Confirmed》,,,,
120,Text,Prelude,地下施設、ほぼ確定かなぁ……,,,,
130,Text,,無線が入る。,,,,
140,Text,Triad,状況は,,,,
150,Text,Prelude,西側は比較的薄いよ,,,,
160,Text,Prelude,やっぱり東側が異常,,,,
170,Text,Triad,……やはりなにか隠してるか,,,,
180,Text,Prelude,多分ね,,,,
190,Text,,Preludeは再び移動を開始する。,,,,
200,Text,,連邦軍巡回部隊の死角。,,,,
210,Text,,崩れた建物内部。,,,,
220,Text,,瓦礫の隙間。,,,,
230,Text,,彼はSymphonyほど戦闘能力は高くない。,,,,
240,Text,,だからこそ、“見つからない”動きを徹底する。,,,,
250,Text,Prelude,Symphonyみたいに正面突破できれば楽なんだけどなぁ……,,,,
260,Text,Triad,お前がやったら即死だ,,,,
270,Text,Prelude,否定できない！,,,,
280,Text,,〇連邦軍仮設司令所 地下区画,,,,
290,Text,,薄暗い通路。,,,,
300,Text,,非常灯だけが点滅している。,,,,
310,Text,,鉄の扉に手をかけ、慎重に部屋に侵入するPrelude。,,,,
320,Text,Prelude,あ,,,,
330,Text,,彼はその部屋の机の上に敵のパソコンを発見した,,,,
340,Text,,Preludeは静かに潜入支援端末からケーブルを伸ばし、パソコンに接続する。,,,,
350,Text,Prelude,ネットワークをハッキングっと,,,,
360,Text,,《Access Start》,,,,
370,Text,,《Russian Military Network》,,,,
380,Text,,―――― 18%,,,,
390,Text,,―――― 47%,,,,
400,Text,,―――― 83%,,,,
410,Text,,―――― COMPLETE,,,,
420,Text,Prelude,よし,,,,
430,Text,,大量のファイルが表示される。,,,,
440,Text,,《東地区掃討作戦》,,,,
450,Text,,《地下区画封鎖命令》,,,,
460,Text,,《ベルサノヴァ地区制圧》,,,,
470,Text,Prelude,うわ、ほんと東ばっか,,,,
480,Text,,彼はさらに深層データへアクセスする。,,,,
490,Text,,《Operation Authority》,,,,
500,Text,,《Eastern District Commander》,,,,
510,Text,Prelude,ん？,,,,
520,Text,,表示されたイニシャル。,,,,
530,Text,,その瞬間。,,,,
540,Text,,Preludeの表情が止まる。,,,,
550,Text,,《I.V》,,,,
560,Text,,静寂。,,,,
570,Text,Prelude,……誰だこの人,,,,
580,Text,,画面を見つめたまま考え込むPrelude。,,,,
590,Text,Prelude,東地区作戦責任者,,,,
600,Text,Prelude,I.V……？,,,,
610,Text,,無線の向こう側が静まり返る。,,,,
620,Text,Triad,……I.V？,,,,
630,Text,,Preludeは唸る。,,,,
640,Text,Prelude,……まさかね,,,,
650,Text,,その時だった。,,,,
660,Text,,――ガチャッ。,,,,
670,Text,Prelude,！,,,,
680,Text,連邦兵,誰だ！！,,,,
690,Text,,見回り兵。,,,,
700,Text,Prelude,やっべ,,,,
710,Text,連邦兵,侵入者だ！！,,,,
720,Text,,警報。,,,,
730,Text,,赤色灯。,,,,
740,Text,,《ALERT》,,,,
750,Text,,《ALERT》,,,,
760,Text,Prelude,ッ……！,,,,
770,Text,,彼は即座にパソコンからデータを引き抜く。,,,,
780,Text,,《Data Download》,,,,
790,Text,,―――― COMPLETE,,,,
800,Text,Prelude,Triad！ データ回収した！,,,,
810,Text,Triad,今すぐ離脱しろ,,,,
820,Text,連邦兵,撃てぇぇぇ！！,,,,
830,Text,,銃撃。,,,,
840,Text,,Preludeは机を蹴り飛ばしながら横転する。,,,,
850,Text,Prelude,うわぁぁッ！？,,,,
860,Text,,弾丸が壁を砕く。,,,,
870,Text,Prelude,Symphonyみたいに戦えないんだって俺は！！,,,,
880,Text,Triad,喋ってないで走れ,,,,
890,Text,,Preludeは煙幕弾を投げる。,,,,
900,Text,,――シュゥゥゥ……,,,,
910,Text,,白煙。,,,,
920,Text,,混乱。,,,,
930,Text,,その隙に通路を駆け抜ける。,,,,
940,Text,,背後から響く怒号。,,,,
950,Text,連邦兵,逃がすな！！,,,,
960,Text,Prelude,ッ……！,,,,
970,Text,,彼は必死に走る。,,,,
980,Text,,その頭の中には、たった一つのイニシャルだけが響いていた。,,,,
990,Text,,I.V。,,,,
1000,Text,,この場所を要塞に変え、戦場にした謎の人物。,,,,
1010,Text,,一体、何者なのか。,,,,
