1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区西地区 廃地下通路,,,,
20,Text,,荒い足音。,,,,
30,Text,,Preludeは崩れた地下通路を全力で駆け抜けていた。,,,,
40,Text,,背後。,,,,
50,Text,連邦兵,いたぞ！！,,,,
60,Text,連邦兵,逃がすな！！,,,,
70,Text,,銃撃。,,,,
80,Text,,――ダダダダダッ！！,,,,
90,Text,,コンクリートが砕け散る。,,,,
100,Text,Prelude,うわぁぁぁッ！？,,,,
110,Text,Prelude,しつこっ！！,,,,
120,Text,Triad,Prelude、現在位置を送れ,,,,
130,Text,,彼は滑り込みながら端末を操作する。,,,,
140,Text,,《Current Position Sending》,,,,
150,Text,,―――― COMPLETE,,,,
160,Text,Triad,東側廃ビルへ向かえ,,,,
170,Text,Triad,13号の休憩地点付近だ,,,,
180,Text,Prelude,了解ッ！,,,,
190,Text,,Preludeは曲がり角へ飛び込む。,,,,
200,Text,,その瞬間。,,,,
210,Text,連邦兵,撃て！！,,,,
220,Text,,――ダダダダダッ！！,,,,
230,Text,Prelude,ッ！！,,,,
240,Text,,肩を掠める弾丸。,,,,
250,Text,,血が飛ぶ。,,,,
260,Text,Prelude,痛ぁぁぁ！！,,,,
270,Text,Triad,被弾したか！？,,,,
280,Text,Prelude,浅い浅い！,,,,
290,Text,,Preludeは冷や汗を掻きながら、必死に走り続ける。,,,,
300,Text,,〇行政中央区東地区 廃キャンプ跡地,,,,
310,Text,,Symphonyは壁へ寄りかかったまま、静かに目を開く。,,,,
320,Text,,遠くで銃声。,,,,
330,Text,,そして無線越しに聞こえるPreludeの荒い息。,,,,
340,Text,Symphony,……Prelude？,,,,
350,Text,Prelude,Symphony！？　起きたの？,,,,
360,Text,Symphony,騒がしい,,,,
370,Text,Prelude,ごめんって！　でも、今かなり大変なんだけど！？,,,,
380,Text,Symphony,……何があった,,,,
390,Text,Triad,Preludeが敵に見つかった,,,,
400,Text,,Symphonyは静かにライフルを掴む。,,,,
410,Text,Symphony,位置は,,,,
420,Text,Triad,Symphony――,,,,
430,Text,Symphony,位置は,,,,
440,Text,,短い沈黙。,,,,
450,Text,Triad,……北西区画,,,,
460,Text,,Symphonyは立ち上がる。,,,,
470,Text,Prelude,あ、待っ――,,,,
480,Text,Symphony,今行く,,,,
490,Text,Triad,行くな,,,,
500,Text,,だが既に通信の向こうでは風の音が響いていた。,,,,
510,Text,Prelude,あちゃー,,,,
520,Text,Triad,……全く,,,,
530,Text,,〇行政中央区東西境界道路,,,,
540,Text,,Preludeが瓦礫の陰へ転がり込む。,,,,
550,Text,,呼吸が荒い。,,,,
560,Text,,弾薬も残り少ない。,,,,
570,Text,Prelude,ッ……！,,,,
580,Text,連邦兵,追い詰めたぞ！！,,,,
590,Text,連邦兵,投降しろ！！,,,,
600,Text,Prelude,するわけないでしょ……！,,,,
610,Text,,敵兵が迫る。,,,,
620,Text,,機関銃を構える兵士。,,,,
630,Text,,その時。,,,,
640,Text,,――ダンッ！！,,,,
650,Text,,一発の銃声。,,,,
660,Text,,連邦兵の頭部が吹き飛ぶ。,,,,
670,Text,Prelude,……え？,,,,
680,Text,,さらに。,,,,
690,Text,,――ダダンッ！！,,,,
700,Text,,二人。,,,,
710,Text,,三人。,,,,
720,Text,,敵兵が次々倒れる。,,,,
730,Text,連邦兵,狙撃だ！！,,,,
740,Text,連邦兵,伏せろ！！,,,,
750,Text,,瓦礫上。,,,,
760,Text,,そこに立っていたのは。,,,,
770,Text,,Symphony。,,,,
780,Text,,黒いヘッドセット。,,,,
790,Text,,赤く光る瞳。,,,,
800,Text,Symphony,大丈夫？,,,,
810,Text,Prelude,ほんとに来ちゃったよ……,,,,
820,Text,Symphony,立てるか,,,,
830,Text,Prelude,一応！,,,,
840,Text,連邦兵,撃てぇぇぇ！！,,,,
850,Text,,一斉射撃。,,,,
860,Text,,Symphonyは前へ出る。,,,,
870,Text,Symphony,kill Chord……起動,,,,
880,Text,,《Neural Sync：START》,,,,
890,Text,,♪――――,,,,
900,Text,,世界が変わる。,,,,
910,Text,,銃弾の軌道。,,,,
920,Text,,敵兵の呼吸。,,,,
930,Text,,全てが見える。,,,,
940,Text,,Symphonyは走る。,,,,
950,Text,,――ダンッ！！,,,,
960,Text,,至近距離射撃。,,,,
970,Text,連邦兵,ぐあッ！？,,,,
980,Text,,Symphonyは敵兵のライフルを掴み、そのまま別の兵士へ叩き込む。,,,,
990,Text,Prelude,相変わらず無茶苦茶だなぁ！,,,,
1000,Text,,Preludeも負けじと応戦する。,,,,
1010,Text,,銃声。,,,,
1020,Text,,爆発。,,,,
1030,Text,,怒号。,,,,
1040,Text,,その中で、Preludeは思わずSymphonyを見る。,,,,
1050,Text,,無機質な顔。,,,,
1060,Text,,だが。,,,,
1070,Text,,彼女は自分を助けに来た。,,,,
1080,Text,Prelude,……こう見えても優しいんだよな,,,,
1090,Text,Symphony,何か言ったか,,,,
1100,Text,Prelude,別にー！,,,,
1110,Text,連邦兵,包囲しろ！！,,,,
1120,Text,,敵増援。,,,,
1130,Text,,装甲兵まで現れる。,,,,
1140,Text,Triad,二人とも長居はするな,,,,
1150,Text,Triad,東側へ離脱しろ,,,,
1160,Text,Prelude,了解！,,,,
1170,Text,Symphony,……,,,,
1180,Text,,だがSymphonyは動かない。,,,,
1190,Text,,視線は遠く。,,,,
1200,Text,,東地区奥。,,,,
1210,Text,Prelude,Symphony？,,,,
1220,Text,Symphony,……誰かいる,,,,
1230,Text,Prelude,え？,,,,
1240,Text,Symphony,見られてる,,,,
1250,Text,,風が吹く。,,,,
1260,Text,,遠くのビル屋上。,,,,
1270,Text,,一瞬だけ。,,,,
1280,Text,,“赤い瞳”が見えた気がした。,,,,
1290,Text,,だが次の瞬間には消えていた。,,,,
1300,Text,Prelude,……なんだ今の,,,,
1310,Text,Symphony,……,,,,
1320,Text,,彼女は答えない。,,,,
1330,Text,,ただ静かに、その方向を見つめ続けていた。,,,,
