1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区東地区 連邦軍補給キャンプ跡地,,,,
20,Text,,炎上するテント。,,,,
30,Text,,崩れた監視塔。,,,,
40,Text,,辺りには連邦兵の亡骸が転がっていた。,,,,
50,Text,,雨が血を洗い流していく。,,,,
60,Text,,Symphonyは静かに歩く。,,,,
70,Text,,激しい呼吸によって肩が上下する。,,,,
80,Text,,彼女の戦闘服は破れ、左腕から血が流れていた。,,,,
90,Text,,だがその手には、まだライフルが握られている。,,,,
100,Text,,Preludeから通信。,,,,
110,Text,Prelude,Symphony！,,,,
120,Text,Prelude,退路、確保できたよ！,,,,
130,Text,Prelude,東側の高架下に来て！,,,,
140,Text,Triad,よく持ちこたえた,,,,
150,Text,Triad,そのまま離脱しろ,,,,
160,Text,Symphony,……了解,,,,
170,Text,,彼女が歩き出した、その時。,,,,
180,Text,,――ザザッ……,,,,
190,Text,,無線へノイズが走る。,,,,
200,Text,Symphony,……ん？,,,,
210,Text,,そして。,,,,
220,Text,,聴き慣れない男の声がヘッドセット越しに響く。,,,,
230,Text,？？？,やはり……私の計画は間違っていなかった,,,,
240,Text,,空気が凍る。,,,,
250,Text,Symphony,……誰,,,,
260,Text,,男は静かに笑う。,,,,
270,Text,？？？,久しいな、被検体13号,,,,
280,Text,,Symphonyの足が止まる。,,,,
290,Text,Triad,どうした、Symphony？,,,,
300,Text,Symphony,この声……,,,,
310,Text,？？？,覚えていないか？,,,,
320,Text,？？？,ならば自己紹介をしよう,,,,
330,Text,,短い沈黙。,,,,
340,Text,,そして。,,,,
350,Text,ヴォロノフ,私こそが、この戦場を作り出し、お前たちをここにおびき出した人造人間計画計画責任者――イワン・ヴォロノフだ,,,,
360,Text,,その瞬間。,,,,
370,Text,,Symphonyの瞳が揺れる。,,,,
380,Text,Prelude,ッ……！！,,,,
390,Text,Triad,ヴォロノフだと……！,,,,
400,Text,ヴォロノフ,ようやく会えたな,,,,
410,Text,Symphony,……貴様、生きていたのか！,,,,
420,Text,,彼女の呼吸が乱れる。,,,,
430,Text,,脳裏に炎が蘇る。,,,,
440,Text,,Armonioso孤児院での惨劇が。,,,,
450,Text,ヴォロノフ,お前たちは実によく動いてくれた,,,,
460,Text,ヴォロノフ,こちらとしても観察し甲斐があったよ,,,,
470,Text,Symphony,……なにを言ってる,,,,
480,Text,ヴォロノフ,分からないか？　ZeroDivideを泳がせていたのは我々だ,,,,
490,Text,ヴォロノフ,お前たちがここへ辿り着くことも予測済みだということだよ,,,,
500,Text,Prelude,ふざけんな……！,,,,
510,Text,Triad,Symphony、通信を切れ！！,,,,
520,Text,,だが、ヴォロノフへの怒りに飲まれたSymphonyの耳にTriadの言葉は届かない。,,,,
530,Text,ヴォロノフ,お前は実に優秀だ、13号,,,,
540,Text,ヴォロノフ,kill Chordとの同期率,,,,
550,Text,ヴォロノフ,戦闘適応能力,,,,
560,Text,ヴォロノフ,全てが理想的だった,,,,
570,Text,Symphony,黙れ……,,,,
580,Text,ヴォロノフ,だが,,,,
590,Text,ヴォロノフ,お前は未完成だ,,,,
600,Text,,静寂。,,,,
610,Text,Symphony,……なに？,,,,
620,Text,ヴォロノフ,お前は最後の被検体ではない,,,,
630,Text,,その瞬間。,,,,
640,Text,,背後。,,,,
650,Text,,瓦礫の向こうから、足音が響く。,,,,
660,Text,,Symphonyがゆっくり振り返る。,,,,
670,Text,,黄色い戦闘服。,,,,
680,Text,,赤い瞳。,,,,
690,Text,,白い髪。,,,,
700,Text,,そこにいたのは、自分と瓜二つの少女だった。,,,,
710,Text,Symphony,……ッ,,,,
720,Text,Prelude,……嘘だろ,,,,
730,Text,Triad,まさか……,,,,
740,Text,,少女は無言。,,,,
750,Text,,ただ静かにSymphonyを見つめている。,,,,
760,Text,ヴォロノフ,被検体14号,,,,
770,Text,ヴォロノフ,0号再現計画の最高傑作だ,,,,
780,Text,,14号。,,,,
790,Text,,その名前を聞いた瞬間、Symphonyの脳裏に先ほどの資料が蘇る。,,,,
800,Text,,《14号運用計画》,,,,
810,Text,,《完全従属化》,,,,
820,Text,,《独立歩兵》,,,,
830,Text,ヴォロノフ,お前は“0号になれなかった失敗作”だ,,,,
840,Text,ヴォロノフ,だが14号は違う,,,,
850,Text,ヴォロノフ,彼女は完全だ,,,,
860,Text,Symphony,……ッ,,,,
870,Text,,唐突な出来事に怒りと混乱が入り乱れ、拳が震える。,,,,
880,Text,,14号はゆっくりと銃を抜く。,,,,
890,Text,,Symphonyと全く同じ動作。,,,,
900,Text,,全く同じ構え。,,,,
910,Text,Prelude,Symphony！！ 下がれ！！,,,,
920,Text,ヴォロノフ,見せてみろ,,,,
930,Text,ヴォロノフ,どちらが“完成形”かを,,,,
940,Text,,14号が銃口を向ける。,,,,
950,Text,,その赤い瞳には感情がない。,,,,
960,Text,,まるで、かつてのSymphonyそのもの。,,,,
970,Text,Symphony,お前は……なんなんだ！？,,,,
980,Text,14号,……ターゲットを殲滅する,,,,
990,Text,Symphony,ッ……！！,,,,
1000,Text,,次の瞬間。,,,,
1010,Text,,――ダンッ！！,,,,
1020,Text,,14号が発砲する。,,,,
