1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区東地区 崩落市街,,,,
20,Text,,崩れたビル群の中央で、二人の少女が向かい合う。,,,,
30,Text,,Symphony。,,,,
40,Text,,そして――14号。,,,,
50,Text,,互いに同じ顔。,,,,
60,Text,,同じ赤い瞳。,,,,
70,Text,,同じ構え。,,,,
80,Text,,違うのは、その瞳の奥だけだった。,,,,
90,Text,ヴォロノフ,始めろ,,,,
100,Text,,次の瞬間。,,,,
110,Text,,――ダンッ！！,,,,
120,Text,,14号が発砲する。,,,,
130,Text,,Symphonyは横へ跳ぶ。,,,,
140,Text,,弾丸がコンクリートを砕く。,,,,
150,Text,Symphony,kill Chord……起動,,,,
160,Text,,《Neural Sync：START》,,,,
170,Text,,♪――――,,,,
180,Text,14号,……kill Chord、起動,,,,
190,Text,,《Synchronization Complete》,,,,
200,Text,Prelude,はっ！？,,,,
210,Text,Prelude,向こうも使えるの！？,,,,
220,Text,Triad,ッ……！！,,,,
230,Text,,二人が同時に駆け出す。,,,,
240,Text,,――ダンッ！！,,,,
250,Text,,――ダダダダダッ！！,,,,
260,Text,,銃声。,,,,
270,Text,,火花。,,,,
280,Text,,弾丸が空中で交差する。,,,,
290,Text,,14号の動きはSymphonyと酷似していた。,,,,
300,Text,,回避。,,,,
310,Text,,反応速度。,,,,
320,Text,,射撃精度。,,,,
330,Text,,全てが異常。,,,,
340,Text,Symphony,ッ……！,,,,
350,Text,14号,……,,,,
360,Text,,無言のまま、14号がナイフを振るう。,,,,
370,Text,,――ギィン！！,,,,
380,Text,,Symphonyが受け止める。,,,,
390,Text,,至近距離。,,,,
400,Text,,互いの赤い瞳がぶつかる。,,,,
410,Text,14号,……分析完了,,,,
420,Text,Symphony,……ッ？,,,,
430,Text,14号,ターゲット、私より弱い,,,,
440,Text,Symphony,黙れ！！,,,,
450,Text,,Symphonyが蹴り飛ばす。,,,,
460,Text,,14号は後方へ着地。,,,,
470,Text,,ほぼ同時。,,,,
480,Text,,再び発砲。,,,,
490,Text,,――ダンッ！！,,,,
500,Text,,Symphonyの肩を弾丸が掠める。,,,,
510,Text,Prelude,Symphony！！,,,,
520,Text,Triad,下がれ！！,,,,
530,Text,Symphony,まだ……！,,,,
540,Text,,ヴォロノフの笑い声が響く。,,,,
550,Text,ヴォロノフ,素晴らしい,,,,
560,Text,ヴォロノフ,やはり0号の因子は優秀だ,,,,
570,Text,ヴォロノフ,戦場でこそ完成する……！,,,,
580,Text,Symphony,貴様ぁぁぁ！！,,,,
590,Text,,Symphonyが突撃する。,,,,
600,Text,,14号も同時に前へ出る。,,,,
610,Text,,衝突。,,,,
620,Text,,銃床。,,,,
630,Text,,ナイフ。,,,,
640,Text,,蹴り。,,,,
650,Text,,まるで鏡写し。,,,,
660,Text,,違うのは――。,,,,
670,Text,,Symphonyの瞳の奥には怒りがあった。,,,,
680,Text,,14号の瞳の奥には何もない。,,,,
690,Text,,あるのは、どこまでも続く虚無。,,,,
700,Text,14号,……命令を遂行する,,,,
710,Text,Symphony,私たち……兵器じゃない！！,,,,
720,Text,,――ダンッ！！,,,,
730,Text,,Symphonyの銃弾が14号の腹部を撃ち抜く。,,,,
740,Text,,14号が僅かによろめく。,,,,
750,Text,,だが倒れない。,,,,
760,Text,14号,……継戦可能,,,,
770,Text,Prelude,おいおい、マジかよ……,,,,
780,Text,,Symphonyは息を荒げる。,,,,
790,Text,,限界が近い。,,,,
800,Text,,出血。,,,,
810,Text,,疲労。,,,,
820,Text,,kill Chordによる神経負荷。,,,,
830,Text,,視界が揺れる。,,,,
840,Text,,だが。,,,,
850,Text,,脳裏に浮かぶ。,,,,
860,Text,,Armonioso孤児院。,,,,
870,Text,,笑っていた子供たち。,,,,
880,Text,,暖かな食卓。,,,,
890,Text,,そして。,,,,
900,Text,,炎。,,,,
910,Text,Symphony,……返せ,,,,
920,Text,14号,……？,,,,
930,Text,Symphony,みんなを返せぇぇぇぇッ！！,,,,
940,Text,,Symphonyが引き金を引く。,,,,
950,Text,,――ダダダダダダッ！！,,,,
960,Text,,14号へ銃弾が突き刺さる。,,,,
970,Text,,後退する14号。,,,,
980,Text,,そして、崩れ落ちた。,,,,
990,Text,,静寂。,,,,
1000,Text,,雨音だけが響く。,,,,
1010,Text,,Symphonyは荒い呼吸のまま近づく。,,,,
1020,Text,,ライフルを向ける。,,,,
1030,Text,Symphony,……ヴォロノフ,,,,
1040,Text,Symphony,答えろ……！,,,,
1050,Text,,無線は沈黙。,,,,
1060,Text,,ノイズだけが流れている。,,,,
1070,Text,Symphony,出てこい……！！,,,,
1080,Text,,返答はない。,,,,
1090,Text,,その時。,,,,
1100,Text,,足元で、小さな声。,,,,
1110,Text,14号,……おねぇ……ちゃん,,,,
1120,Text,Symphony,――ッ,,,,
1130,Text,,時間が止まる。,,,,
1140,Text,14号,……やっと……会えた……,,,,
1150,Text,,Symphonyの瞳が揺れる。,,,,
1160,Text,,14号の赤い瞳。,,,,
1170,Text,,そこに初めて、“感情”が見えた。,,,,
1180,Text,Symphony,……なにを言っている？,,,,
1190,Text,14号,ずっと……,,,,
1200,Text,,言葉は最後まで続かなかった。,,,,
1210,Text,,14号の手が力なく落ちる。,,,,
1220,Text,Symphony,……おい,,,,
1230,Text,Symphony,おい……！,,,,
1240,Text,,その瞬間。,,,,
1250,Text,,Triadの声が無線へ響く。,,,,
1260,Text,Triad,Symphony、聞け！,,,,
1270,Text,Triad,連邦軍がその区域へ空爆を開始する！！,,,,
1280,Text,,遠くで爆音。,,,,
1290,Text,,――ドゴォォォォン！！！,,,,
1300,Text,,地面が揺れる。,,,,
1310,Text,Prelude,Symphony！！ 早く来い！！,,,,
1320,Text,,Symphonyは立ち尽くす。,,,,
1330,Text,,視線の先には14号。,,,,
1340,Text,,その顔は、自分と同じだった。,,,,
1350,Text,Triad,Symphony！！,,,,
1360,Text,,爆撃。,,,,
1370,Text,,炎。,,,,
1380,Text,,瓦礫。,,,,
1390,Text,,Triadの怒声で、ようやくSymphonyは顔を上げる。,,,,
1400,Text,Symphony,……ッ,,,,
1410,Text,,彼女はライフルを握り直す。,,,,
1420,Text,,そして走り出した。,,,,
1430,Text,,〇行政中央区東地区 高架下,,,,
1440,Text,,――ドゴォォォォン！！！,,,,
1450,Text,,爆撃が降り注ぐ。,,,,
1460,Text,連邦兵,空爆だ！！,,,,
1470,Text,連邦兵,退避しろ！！,,,,
1480,Text,,Symphonyは崩れる道路を駆け抜ける。,,,,
1490,Text,,背後で建物が吹き飛ぶ。,,,,
1500,Text,Prelude,Symphony！！ こっち！！,,,,
1510,Text,,高架下。,,,,
1520,Text,,鹵獲した連邦軍車両の運転席から、Preludeが彼女に手を伸ばす。,,,,
1530,Text,,Symphonyはその手を掴み、滑り込むように助手席へ乗り込んだ。,,,,
1540,Text,Prelude,掴まって！！,,,,
1550,Text,,――ブロロロロォォォ！！,,,,
1560,Text,,軍用車が急発進する。,,,,
1570,Text,,爆炎の中を突き抜ける。,,,,
1580,Text,,後方。,,,,
1590,Text,,燃え上がる行政中央区。,,,,
1600,Text,,そして。,,,,
1610,Text,,崩れていく戦場。,,,,
1620,Text,Triad,離脱確認……,,,,
1630,Text,Triad,はぁ……、よく戻った,,,,
1640,Text,Prelude,ほんとギリギリだったよ……,,,,
1650,Text,,だが。,,,,
1660,Text,,Symphonyは何も答えない。,,,,
1670,Text,,窓の外を見つめている。,,,,
1680,Text,,脳裏に残る、最後の言葉。,,,,
1690,Text,,……おねぇ……ちゃん,,,,
1700,Text,Symphony,……14号,,,,
1710,Text,,その呟きだけが、静かに車内へ響いた。,,,,
