1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区東地区 廃キャンプ跡地,,,,
20,Text,,燃え残ったテント。,,,,
30,Text,,転がる薬莢。,,,,
40,Text,,崩れた土嚢。,,,,
50,Text,,つい数十分前まで戦場だった場所に、今は静かな風だけが吹いていた。,,,,
60,Text,,Symphonyは壁にもたれ込み、ゆっくり座り込む。,,,,
70,Text,,荒い呼吸。,,,,
80,Text,,左腕には止血帯。,,,,
90,Text,,戦闘服も血で汚れている。,,,,
100,Text,Prelude,……Symphony！！,,,,
110,Text,,Preludeの声が近づいてくる。,,,,
120,Text,Prelude,大丈夫かい、Symphony！！　やっと合流できたね,,,,
130,Text,Symphony,なんだ、Preludeか。別に問題ない,,,,
140,Text,Prelude,いや、そのセリフ便利ワードじゃないからね？　てか、なんだぁその反応はっ！,,,,
150,Text,Symphony,深い意味はないよ,,,,
160,Text,Triad,Symphony、そこで補給を受けろ,,,,
170,Text,Symphony,まだ動ける,,,,
180,Text,Triad,命令だ,,,,
190,Text,,短い沈黙。,,,,
200,Text,Symphony,……了解,,,,
210,Text,,Preludeが崩れた補給箱を漁る。,,,,
220,Text,Prelude,お、レーション発見,,,,
230,Text,Prelude,うわ最悪、潰れてるよ,,,,
240,Text,Symphony,食べられるなら何でもいい,,,,
250,Text,Prelude,キミは欲に頓着がないなぁ,,,,
260,Text,Symphony,カペリメイステルを潰す、それ以外のことなんて今はどうでもいいかな,,,,
270,Text,Triad,Prelude、水と弾薬を優先しろ,,,,
280,Text,Prelude,了解了解,,,,
290,Text,,Symphonyは静かにライフルを分解する。,,,,
300,Text,,汚れた部品。,,,,
310,Text,,焼けた銃身。,,,,
320,Text,,彼女は無言で整備を始める。,,,,
330,Text,,カチャ……カチャ……,,,,
340,Text,Prelude,キミってさ,,,,
350,Text,Prelude,ほんと強いよね,,,,
360,Text,Symphony,……？,,,,
370,Text,Prelude,普通あれだけ戦ったら倒れるって,,,,
380,Text,Prelude,正規軍三個小隊だよ？,,,,
390,Text,Symphony,任務だった,,,,
400,Text,Prelude,それだけで動けるのキミぐらいだって……,,,,
410,Text,,Symphonyの動きが止まる。,,,,
420,Text,,少しだけ視線を落とす。,,,,
430,Text,Symphony,……止まったら,,,,
440,Text,Prelude,ん？,,,,
450,Text,Symphony,色々考えてしまうから,,,,
460,Text,,静かだった。,,,,
470,Text,,風の音だけが響く。,,,,
480,Text,,Preludeは少し困ったように笑う。,,,,
490,Text,Prelude,そっか。なんかSymphonyが珍しく人間らしいこと言った！,,,,
500,Text,Symphony,私は人間じゃない,,,,
510,Text,Prelude,あ、またそれ～！,,,,
520,Text,Triad,……お前はそう思いたいだけだ,,,,
530,Text,Symphony,……,,,,
540,Text,,Triadの声が少し低くなる。,,,,
550,Text,Triad,OKB-713の連中はお前らを兵器扱いした,,,,
560,Text,Triad,だが今は違う,,,,
570,Text,Triad,お前はZeroDivideだ,,,,
580,Text,,Symphonyは返事をしない。,,,,
590,Text,,ただ黙って銃を組み立て続ける。,,,,
600,Text,,その時。,,,,
610,Text,Prelude,あ、医療キット発見,,,,
620,Text,Prelude,Symphony、腕出して,,,,
630,Text,Symphony,必要ない,,,,
640,Text,Prelude,ある！！,,,,
650,Text,,Preludeが強引に止血帯を外す。,,,,
660,Text,Symphony,……ッ,,,,
670,Text,Prelude,ほら、痛覚あるじゃん,,,,
680,Text,Symphony,うるさい,,,,
690,Text,Prelude,はいはい,,,,
700,Text,,Preludeは手際よく傷を処置する。,,,,
710,Text,,Symphonyは黙ったままそれを見ていた。,,,,
720,Text,Prelude,……ねぇSymphony,,,,
730,Text,Symphony,なに？,,,,
740,Text,Prelude,怖くない？,,,,
750,Text,Symphony,……なにが,,,,
760,Text,Prelude,地下施設,,,,
770,Text,Prelude,ほら……、また自分たちの過去を見ることになるじゃん？,,,,
780,Text,,Symphonyは少しだけ目を閉じる。,,,,
790,Text,,脳裏。,,,,
800,Text,,白い研究室。,,,,
810,Text,,薬品臭。,,,,
820,Text,,実験台。,,,,
830,Text,,無機質な声。,,,,
840,Text,,《被検体13号 適合率更新》,,,,
850,Text,,《kill Chord同期開始》,,,,
860,Text,Symphony,……怖くない,,,,
870,Text,Prelude,即答だね,,,,
880,Text,Symphony,怖くても行くし,,,,
890,Text,,その返答に、Preludeは小さく笑う。,,,,
900,Text,Prelude,ふふっ、キミらしい返しだね,,,,
910,Text,Triad,Prelude,,,,
920,Text,Prelude,はいっ,,,,
930,Text,Triad,お前は引き続き索敵を続行しろ,,,,
940,Text,Prelude,了解,,,,
950,Text,,Symphonyが顔を上げる。,,,,
960,Text,Symphony,……私も行く,,,,
970,Text,Triad,ダメだ,,,,
980,Text,Symphony,でも――,,,,
990,Text,Triad,お前は休め,,,,
1000,Text,Triad,今のお前は、自分が思っているよりかなり無理をしている,,,,
1010,Text,Symphony,問題――,,,,
1020,Text,Triad,ある,,,,
1030,Text,,静寂。,,,,
1040,Text,Triad,Symphony,,,,
1050,Text,Triad,死ぬなって言っただろう,,,,
1060,Text,,Symphonyは言葉を失う。,,,,
1070,Text,,Preludeが立ち上がる。,,,,
1080,Text,Prelude,じゃ、偵察行ってくるよ,,,,
1090,Text,Prelude,東側の奥、ちょっと気になるし,,,,
1100,Text,Triad,単独行動だ。慎重に動け,,,,
1110,Text,Prelude,了解了解,,,,
1120,Text,,Preludeは軽く手を振る。,,,,
1130,Text,Prelude,Symphonyは絶対に大人しく休んでなよ？,,,,
1140,Text,Symphony,……善処する,,,,
1150,Text,Prelude,絶対しないやつだそれ,,,,
1160,Text,,彼は苦笑しながら暗闇へ消えていく。,,,,
1170,Text,,Symphonyはその背中を見つめる。,,,,
1180,Text,,遠くで砲撃音。,,,,
1190,Text,,戦場の炎はまだ消えていない。,,,,
1200,Text,,Symphonyは静かに壁へ寄りかかり、目を閉じる。,,,,
1210,Text,,だが脳裏に浮かぶのは、火の海だった。,,,,
1220,Text,,Armonioso孤児院。,,,,
1230,Text,,燃える景色。,,,,
1240,Text,,泣き声。,,,,
1250,Text,,そして。,,,,
1260,Text,,床に転がった家族同然の愛する人たちの死体。,,,,
1270,Text,Symphony,……,,,,
1280,Text,,彼女は小さく拳を握る。,,,,
1290,Text,,一方その頃。,,,,
1300,Text,,Preludeは一人、市街地を進んでいた。,,,,
