1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区東地区 廃ビル地帯,,,,
20,Text,,雨。,,,,
30,Text,,崩れた高層ビルの隙間を、冷たい風が吹き抜ける。,,,,
40,Text,,Symphonyは静かにマガジンを装填する。,,,,
50,Text,,カチッ――。,,,,
60,Text,,Preludeは壁際で端末を操作していた。,,,,
70,Text,Prelude,連邦軍、完全に東側へ戦力集中してたよ,,,,
80,Text,Symphony,そう,,,,
90,Text,Prelude,西側ほぼ空っぽ,,,,
100,Text,Triad,地下施設の位置を隠すためだろうな,,,,
110,Text,Symphony,……なら、近いね,,,,
120,Text,Triad,焦るなよ、Symphony,,,,
130,Text,Symphony,焦ってない,,,,
140,Text,Prelude,ほんとかなぁ,,,,
150,Text,,Symphonyは返事をせず歩き出す。,,,,
160,Text,,〇連邦軍東部補給キャンプ,,,,
170,Text,,大型テント。,,,,
180,Text,,通信車両。,,,,
190,Text,,検問。,,,,
200,Text,,連邦兵たちが慌ただしく動いている。,,,,
210,Text,,Symphonyは廃車両の陰から双眼鏡を覗く。,,,,
220,Text,,《Enemy Count：23》,,,,
230,Text,,《Heavy Infantry：4》,,,,
240,Text,,《Sniper：2》,,,,
250,Text,Prelude,多いねぇ……,,,,
260,Text,Symphony,侵入する,,,,
270,Text,Prelude,毎回言うけど、Symphonyの“侵入”って強襲なんだよね,,,,
280,Text,Triad,今回は可能な限り隠密行動だ,,,,
290,Text,Symphony,了解,,,,
300,Text,,その声と同時。,,,,
310,Text,,彼女は音もなくフェンスを越える。,,,,
320,Text,,〇補給キャンプ内部,,,,
330,Text,,連邦兵たちが慌ただしく走り回る。,,,,
340,Text,,東側前線への補給準備。,,,,
350,Text,,砲弾。,,,,
360,Text,,医療品。,,,,
370,Text,,弾薬箱。,,,,
380,Text,,Symphonyは監視兵の背後へ回る。,,,,
390,Text,,――シュッ。,,,,
400,Text,,ナイフが兵士の喉元に沈む。崩れ落ちる。,,,,
410,Text,Symphony,……,,,,
420,Text,,感情はない。,,,,
430,Text,,ただ静かに進む。,,,,
440,Text,,彼女は中央司令テントへ侵入する。,,,,
450,Text,,内部には大量の資料が積み重なっている。,,,,
460,Text,,机の上にはパソコンが置かれている。,,,,
470,Text,,Symphonyはまた潜入支援端末でパソコンをハッキングし、データを漁る。,,,,
480,Text,,《OKB》,,,,
490,Text,,《Independent》,,,,
500,Text,,《Special Infantry》,,,,
510,Text,,その瞬間。,,,,
520,Text,,一つのファイルが表示される。,,,,
530,Text,,《独立歩兵開発計画》,,,,
540,Text,Symphony,……！,,,,
550,Text,,彼女は即座に開く。,,,,
560,Text,,画面へ大量の文章が映し出される。,,,,
570,Text,,《次世代単独戦闘兵器》,,,,
580,Text,,《kill Chord量産運用》,,,,
590,Text,,《被検体適合試験》,,,,
600,Text,,《14号運用計画》,,,,
610,Text,,Symphonyの瞳が止まる。,,,,
620,Text,,《14号》,,,,
630,Text,Symphony,……14号,,,,
640,Text,Prelude,どうした？,,,,
650,Text,Symphony,資料を発見した,,,,
660,Text,Symphony,独立歩兵開発計画……,,,,
670,Text,Triad,ッ……！,,,,
680,Text,,Symphonyは高速でページを読み進める。,,,,
690,Text,,《0号再現プロジェクト》,,,,
700,Text,,《感情制御》,,,,
710,Text,,《完全従属化》,,,,
720,Text,,《戦場単独制圧》,,,,
730,Text,Prelude,うわぁ……趣味悪……,,,,
740,Text,Triad,Symphony、そのデータは絶対に持ち帰れ,,,,
750,Text,Triad,何としてでもだ,,,,
760,Text,Symphony,了解,,,,
770,Text,,彼女はデータを端末に抜き取る。,,,,
780,Text,,《Data Transfer》,,,,
790,Text,,―――― 11%,,,,
800,Text,,―――― 39%,,,,
810,Text,,―――― 66%,,,,
820,Text,,その時だった。,,,,
830,Text,,――ガチャッ。,,,,
840,Text,連邦兵,……誰だ？,,,,
850,Text,,静止。,,,,
860,Text,,Symphonyと兵士の目が合う。,,,,
870,Text,連邦兵,侵入――,,,,
880,Text,,――ダンッ！！,,,,
