1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇行政中央区東地区 崩落道路,,,,
20,Text,,Symphonyは咄嗟に瓦礫の陰へ滑り込む。,,,,
30,Text,,直後。,,,,
40,Text,,――ダダダダダッ！！,,,,
50,Text,,機銃掃射によって、辺り一帯のコンクリートが砕け散る。,,,,
60,Text,連邦兵,東側へ逃げたぞ！,,,,
70,Text,連邦兵,追え！！,,,,
80,Text,Symphony,……ッ,,,,
90,Text,,彼女は荒い呼吸を押し殺しながら、弾倉を交換する。,,,,
100,Text,,カチッ。,,,,
110,Text,,左頬に血が滴る。,,,,
120,Text,,戦闘服は右足の一部分が破れている。,,,,
130,Text,,連邦兵が次第に彼女の方へ近づいてくる。,,,,
140,Text,,弾丸の嵐も止みそうにない。,,,,
150,Text,Symphony,……くそっ、こんなところで終わる訳には――,,,,
160,Text,連邦兵,いたぞ！　これでお終いだ！！,,,,
170,Text,,顔を上げるSymphony。,,,,
180,Text,,瓦礫の陰に隠れる彼女を、連邦兵の殺気立った瞳が覗き込んでいた。,,,,
190,Text,Symphony,クッ……！！,,,,
200,Text,,次の瞬間。,,,,
210,Text,,――タァーンッ！！,,,,
220,Text,,天を貫くような甲高い銃声が轟いた。,,,,
230,Text,Symphony,……？,,,,
240,Text,,連邦兵の動きが止まっていた。額には大きな穴が空き、そこからワインのように赤い血が垂れ流れている。,,,,
250,Text,,その後も、立て続けに銃声が鳴った。,,,,
260,Text,,Preludeから無線が入った。,,,,
270,Text,Prelude,ごめん、遅くなった！　Symphony、生きてる！？,,,,
280,Text,,Preludeのスナイパーライフルによる遠距離射撃のおかげで一命を取り留めたSymphony。,,,,
290,Text,,彼女は珍しく動揺した表情を見せる。,,,,
300,Text,Symphony,……あ、あぁ。問題ない,,,,
310,Text,Prelude,いや絶対問題ある声だけど！？,,,,
320,Text,Symphony,ありがとう、助かった,,,,
330,Text,,Symphonyは立ち上がって、機関銃の方を見た。,,,,
340,Text,,射撃していた兵士の頭が粉砕していた。,,,,
350,Text,,Triadから無線が入る。,,,,
360,Text,Triad,間一髪だったな、Symphony,,,,
370,Text,Symphony,……うん,,,,
380,Text,Prelude,あ、そうそう！　こっちも色々漁ってたんだけどさ,,,,
390,Text,Prelude,カペリメイステル関連資料は見つからなかった,,,,
400,Text,Triad,そうか……,,,,
410,Text,Prelude,でも、代わりに面白い物を拾った,,,,
420,Text,,電子音と共に、PreludeからSymphonyの端末へデータが届く。,,,,
430,Text,,《Data Receive》,,,,
440,Text,,―――― 24%,,,,
450,Text,,―――― 58%,,,,
460,Text,,―――― COMPLETE,,,,
470,Text,,《Russian Army Operation Plan》,,,,
480,Text,Symphony,作戦計画書……？,,,,
490,Text,Prelude,東地区への掃討作戦が異常に多い,,,,
500,Text,Prelude,兵力配置も完全に偏ってる,,,,
510,Text,Triad,やはり、連邦兵は東地区に地下施設の入口を隠してる可能性が高いな,,,,
520,Text,,Symphonyは地図を見る。,,,,
530,Text,,赤いマーカー。,,,,
540,Text,,集中する連邦軍。,,,,
550,Text,,封鎖区域。,,,,
560,Text,Symphony,……絶対に見つけ出す,,,,
570,Text,Triad,その有様でか？,,,,
580,Text,Symphony,見つければ終わる,,,,
590,Text,Triad,やれやれ……,,,,
600,Text,,その時だった。,,,,
610,Text,,連邦兵の怒号が遠くから響く。,,,,
620,Text,連邦兵,東キャンプとの通信が途絶えた！,,,,
630,Text,連邦兵,侵入者はまだいるぞ！　逃すな！！,,,,
640,Text,Prelude,やっべ……,,,,
650,Text,Symphony,しつこいな……,,,,
660,Text,,Symphonyは静かに周囲を見る。,,,,
670,Text,,前方道路。,,,,
680,Text,,左右の路地。,,,,
690,Text,,建物上。,,,,
700,Text,,連邦軍が次々と集結してくる。,,,,
710,Text,,完全包囲されたSymphony。,,,,
720,Text,Triad,Symphony、撤退しろ,,,,
730,Text,Prelude,西側ルートはもう塞がれてる！,,,,
740,Text,Symphony,東地区へ突破する,,,,
750,Text,Prelude,さらっと言うなぁ……,,,,
760,Text,連邦兵,投降しろ！！,,,,
770,Text,連邦兵,武器を捨てろ！！,,,,
780,Text,,Symphonyはゆっくりとライフルを構える。,,,,
790,Text,Symphony,……断る,,,,
800,Text,,次の瞬間。,,,,
810,Text,,銃撃。,,,,
820,Text,,――ダダダダダダッ！！,,,,
830,Text,,Symphonyはライフルを撃ちながら遮蔽物へ滑り込む。,,,,
840,Text,,コンクリートへ弾痕が走る。,,,,
850,Text,連邦兵,撃ち続けろ！！,,,,
860,Text,Symphony,kill Chord……起動,,,,
870,Text,,《Neural Sync：START》,,,,
880,Text,,《Adrenaline Limit解除》,,,,
890,Text,,♪――――,,,,
900,Text,,世界が静まる。,,,,
910,Text,,敵の動き。,,,,
920,Text,,銃口。,,,,
930,Text,,呼吸。,,,,
940,Text,,全てが止まって見える。,,,,
950,Text,,Symphonyは飛び出す。,,,,
960,Text,,――ダンッ！！,,,,
970,Text,,一人。,,,,
980,Text,,――ダダンッ！！,,,,
990,Text,,二人。,,,,
1000,Text,連邦兵,ッ！？,,,,
1010,Text,,Symphonyは瓦礫を蹴り、跳躍する。,,,,
1020,Text,,宙を舞い、連邦兵の頭を正確に撃ち抜いていく。,,,,
1030,Text,,敵兵が次々と床に倒れていく。,,,,
1040,Text,Prelude,すげぇー……,,,,
1050,Text,Triad,気を抜くなPrelude。お前も遠距離射撃で支援を怠るな,,,,
1060,Text,Prelude,はいっ！,,,,
1070,Text,連邦兵,包囲を維持しろ！,,,,
1080,Text,連邦兵,逃がすな！！,,,,
1090,Text,,さらに敵兵が押し寄せる。,,,,
1100,Text,,Symphonyは崩れたバスの陰へ滑り込み、即座にマガジンを交換する。,,,,
1110,Text,Symphony,……多い,,,,
1120,Text,Prelude,いや今さら！？,,,,
1130,Text,Symphony,面倒,,,,
1140,Text,Prelude,それで済ませるんだ……,,,,
1150,Text,,突然。,,,,
1160,Text,,――ヒュゥゥゥゥ……,,,,
1170,Text,Symphony,！,,,,
1180,Text,,迫撃砲。,,,,
1190,Text,,轟音。,,,,
1200,Text,,――ドゴォォォン！！！,,,,
1210,Text,,道路が吹き飛ぶ。,,,,
1220,Text,,連邦軍の隊列が崩れる。,,,,
1230,Text,Prelude,ナイスタイミング！　ゲリラ部隊だ！！,,,,
1240,Text,Triad,今だSymphony。東へ抜けろ。Preludeもだ,,,,
1250,Text,Prelude,はい！　じゃ、また後でね！,,,,
1260,Text,Symphony,了解,,,,
1270,Text,,Symphonyは爆煙の中を駆け抜ける。,,,,
1280,Text,連邦兵,撃てぇぇぇ！！,,,,
1290,Text,,弾丸が腕を掠める。,,,,
1300,Text,,だが止まらない。,,,,
1310,Text,Symphony,……地下施設,,,,
1320,Text,,彼女の視線は東地区奥を向いていた。,,,,
1330,Text,,その地下に。,,,,
1340,Text,,自分たちの過去が眠っている。,,,,
1350,Text,,そして。,,,,
1360,Text,,カペリメイステルがいる。,,,,
1370,Text,Symphony,もう少しだ……,,,,
1380,Text,,爆炎の中。,,,,
1390,Text,,彼女は再び戦場へ消えていった。,,,,
