1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇ZeroDivide 前線拠点,,,,
20,Text,,――薄暗い地下格納庫。,,,,
30,Text,,並ぶ銃器。弾薬箱。分解されたAK。,,,,
40,Text,,壁に貼られた北カフカス自治共和国市街地の地図。,,,,
50,Text,,その中央。,,,,
60,Text,,Triadが無線機を片手に苛立たしげに机を叩く。,,,,
70,Text,Triad,……チッ,,,,
80,Text,Prelude,機嫌悪いねぇ、Triad,,,,
90,Text,Triad,悪くもなる,,,,
100,Text,,机上の写真を睨むTriad。,,,,
110,Text,,そこには、赤丸で印をつけた行政中央区市街地の「ベルサノヴァ地区」が写っている。,,,,
120,Text,Triad,旧OKB-713関連施設……,,,,
130,Text,Triad,そこにカペリメイステルの資料が眠っている可能性が高い,,,,
140,Text,被検体2号,だが市街地は正規軍によって完全封鎖状態だ,,,,
150,Text,Prelude,普通に突っ込んだら蜂の巣だね,,,,
160,Text,Triad,分かっている,,,,
170,Text,,Triadが、咥えていた葉巻を苛立ったようにもみ消す。,,,,
180,Text,Triad,このままだと連邦軍側に資料を回収されてしまう……,,,,
190,Text,Triad,だが小隊規模で侵入すれば確実に見つかる,,,,
200,Text,,重い沈黙。,,,,
210,Text,,誰も口を開かない。,,,,
220,Text,,その時。,,,,
230,Text,,格納庫奥で武器の整備をしていたSymphonyが立ち上がった。,,,,
240,Text,Symphony,なら、私一人で行く,,,,
250,Text,,全員の視線が向く。,,,,
260,Text,Triad,却下だ,,,,
270,Text,,即答だった。,,,,
280,Text,Symphony,なんで？,,,,
290,Text,Triad,お前を一人で敵地に送り込めるか,,,,
300,Text,Symphony,でも、その方が発見される確率は低いよね,,,,
310,Text,被検体2号,それはそうだが……,,,,
320,Text,Triad,自殺行為だ！,,,,
330,Text,,Triadが机を叩く。,,,,
340,Text,Triad,相手はカペリメイステルだぞ！,,,,
350,Text,Triad,奴らはお前を見つけたらどんな手を使ってでも鹵獲しようとしてくるぞ！,,,,
360,Text,Symphony,……それでも行く,,,,
370,Text,Triad,Symphony――,,,,
380,Text,Symphony,奴らはArmoniosoを。私の全てを燃やした,,,,
390,Text,,空気が止まる。,,,,
400,Text,Symphony,家族同然の人たちを殺した,,,,
410,Text,Symphony,……だから私が行く,,,,
420,Text,Prelude,……,,,,
430,Text,,Triadは黙ってSymphonyの目を睨む。,,,,
440,Text,,彼女の目には、静かな殺意だけがあった。,,,,
450,Text,,燃え尽きない復讐心。,,,,
460,Text,Symphony,カペリメイステルを壊滅させる,,,,
470,Text,Symphony,それだけ,,,,
480,Text,Triad,……,,,,
490,Text,,Triadは視線を逸らす。,,,,
500,Text,,その横顔には僅かな苦さが浮かんでいた。,,,,
510,Text,,Preludeが軽く肩をすくめる。,,,,
520,Text,Prelude,まぁ、止めても行くよなぁ,,,,
530,Text,被検体3号,Symphonyの潜入適性は高いわ,,,,
540,Text,被検体2号,確かにな。それに、kill Chordとの相性も抜群だ,,,,
550,Text,Triad,逆に言えば慢心する原因だ,,,,
560,Text,Symphony,私は死なない。カペリメイステルを潰すまではね,,,,
570,Text,Triad,簡単に言うな,,,,
580,Text,Symphony,Triad,,,,
590,Text,,彼女が珍しく真っ直ぐ彼を見る。,,,,
600,Text,Symphony,私は、あの日……助けてもらった,,,,
610,Text,Symphony,だから今度は私が終わらせる,,,,
620,Text,,Triadの表情が曇る。,,,,
630,Text,,4年前。,,,,
640,Text,,炎上する孤児院からSymphonyを拾い上げた日のこと。,,,,
650,Text,Triad,……クソ,,,,
660,Text,,彼は頭を掻きむしる。,,,,
