1,Background,OutdoorsInCity,,,,,
5,Portrait,Right,TextBox,0,0,2.75,TRUE
10,Text,,〇ZeroDivide 前線拠点 作戦室,,,,
20,Text,,行政中央区市街地の状況がモニターに映し出される。,,,,
30,Text,,赤く塗られた占領区域。,,,,
40,Text,,連邦軍の検問所や対空陣地の位置。,,,,
50,Text,,装甲部隊の配置。,,,,
60,Text,,そして中央には大きく表示された文字。,,,,
70,Text,,[侵入成功率：14％],,,,
80,Text,Prelude,低っ！？,,,,
90,Text,被検体2号,当然だが、正面侵入は現実的ではないな,,,,
100,Text,被検体3号,地下ルートも既に封鎖されているようね,,,,
110,Text,Triad,……,,,,
120,Text,,作戦室に重苦しい空気が流れる。,,,,
130,Text,,その時。,,,,
140,Text,Symphony,HALO降下を提案する,,,,
150,Text,,全員の視線が向く。,,,,
160,Text,Triad,……ほう？,,,,
170,Text,Symphony,高高度降下ならレーダー網を回避できるし、市街地近郊へ直接侵入が可能,,,,
180,Text,Prelude,いやいやいや！？,,,,
190,Text,Prelude,可能って簡単に言うけどね！？,,,,
200,Text,Triad,却下だ,,,,
210,Text,,Triadが溜息まじりに行った。,,,,
220,Text,Symphony,成功率は最も高い,,,,
230,Text,Triad,お前の成功率の判断基準は毎回おかしい,,,,
240,Text,Symphony,……,,,,
250,Text,,無言。,,,,
260,Text,,だが彼女は引かない。,,,,
270,Text,,モニターへ新たな数値が表示される。,,,,
280,Text,,《地下からの潜入時 推定発見率：87％》,,,,
290,Text,,《陸地からの潜入時 推定発見率：31％》,,,,
300,Text,,《HALO降下による潜入時：17％》,,,,
310,Text,被検体2号,Symphonyの意見は合理的ではあるようだな,,,,
320,Text,Triad,それはあくまで数値上での話だ。実戦では大きく変動する,,,,
330,Text,Prelude,んー、まあでも……,,,,
340,Text,,Preludeが手を上げる。,,,,
350,Text,Triad,Prelude、お前までなにを言い出す気だ,,,,
360,Text,Prelude,実際、HALO降下以外の潜入ルートじゃ敵にほぼ確で見つかっちゃうでしょ,,,,
370,Text,Triad,……,,,,
380,Text,,Triadが目頭を押さえて唸る。,,,,
390,Text,Prelude,行政中央区は今、完全な要塞化状態だもん,,,,
400,Text,被検体3号,それは間違いないわね,,,,
410,Text,Prelude,ならHALO降下の方が現実的,,,,
420,Text,Triad,そもそも、お前たち二人はHALO降下なんてできるのか？,,,,
430,Text,Prelude,人造人間に今さら高所恐怖症とか期待してる？,,,,
440,Text,Triad,そういう話じゃない,,,,
450,Text,,Triadが呆れて額を押さえる。,,,,
460,Text,Symphony,私に怖いものなんてないけど,,,,
470,Text,Prelude,ほら、Symphonyもこう言ってるし！,,,,
480,Text,Triad,まったく……,,,,
490,Text,,作戦室の空気が張り詰める。,,,,
500,Text,,Triadがモニターを睨む。,,,,
510,Text,Triad,……他に方法はないのか？,,,,
520,Text,被検体2号,ないな,,,,
530,Text,被検体3号,現状、HALO降下が最適解だと私も思うわ,,,,
540,Text,Triad,はぁ……。分かった,,,,
550,Text,,彼は静かに椅子から立ち上がる。,,,,
560,Text,Triad,HALO降下、失敗するなよ,,,,
570,Text,Prelude,分かってる。任せて！,,,,
580,Text,,作戦室内のモニターが切り替わる。,,,,
590,Text,,《Operation Start》,,,,
600,Text,,《Insertion Route Loading…》,,,,
610,Text,,《HALO Jump Protocol》,,,,
620,Text,Prelude,よーし、頑張っちゃうぞ,,,,
630,Text,,Preludeがストレッチをする。,,,,
640,Text,,Symphonyは静かに装備ケースを開いた。,,,,
650,Text,,黒いヘッドセット。,,,,
660,Text,,予備弾倉。,,,,
670,Text,,ナイフ。,,,,
680,Text,,アサルトライフル AKS-74U。,,,,
690,Text,,リボルバー Manurhin MR73。,,,,
700,Text,Symphony,装備問題なし。kill Chord接続確認,,,,
710,Text,,《Neural Sync：NORMAL》,,,,
720,Text,,《Pulse：Stable》,,,,
730,Text,Prelude,キミって毎回それ確認するよね,,,,
740,Text,Symphony,実戦で不備が起きたら死に直結するからね,,,,
750,Text,Prelude,……ボクも今回は確認を怠らないよ,,,,
760,Text,Symphony,今回は、じゃなくて毎回確認しなよ,,,,
770,Text,Prelude,うぅ、はい,,,,
