10,Fade,0,0.5,0,Black,Alpha,
20,Background,OutdoorsInCity,,,,,
30,Portrait,Left,Prelude,0,-90,1,TRUE
40,Portrait,Right,Symphony,0,-90,1,TRUE
50,Fade,1,0,0,Text,Alpha,
60,Fade,1,0,0,PortraitRight,Alpha,
70,Fade,1,0,0,PortraitLeft,Alpha,
80,Fade,0,1,1,Text,Alpha,
90,Text,,〇中東国境地帯 廃市街,,,,
100,Text,,無数の崩壊した住居の隙間を、砂嵐が吹き抜ける。,,,,
110,Text,,瓦礫や薬莢が散らばった荒道の傍らで大破する戦車。,,,,
120,Text,,至る所で銃声が鳴り響く。,,,,
130,Fade,1,0,0,Black,Alpha,
140,Fade,0,1,0,PortraitRight,Black,
150,Fade,0,1,0,PortraitRight,Alpha,
160,Text,,PMC《ZeroDivide》は今日も戦場にいた。,,,,
170,Text,,連邦製装甲車の陰で、黒いヘッドセットを装着した少女が静かに弾倉を叩き込む。,,,,
180,Fade,1,0,0.5,PortraitRight,Black,
190,Text,,彼女のコードネームはSymphony。,,,,
200,Text,,正式名称、被検体13号。,,,,
210,Text,,かつてOKB-713――旧連邦秘密設計局にて生み出された、人造人間だった。,,,,
220,Fade,0,1,0.5,PortraitRight,Black,
230,Fade,1,0,0,PortraitRight,Alpha,
240,Fade,0,0.5,0,Black,Alpha,
250,Text,,通信機にノイズが走る。,,,,
260,Fade,1,0,0,Black,Alpha,
270,Portrait,Right,Triad,0,-90,1,TRUE
280,Fade,0,1,0,PortraitRight,Alpha,
290,Fade,1,0,0.5,PortraitRight,Black,
300,Text,Triad,こちらTriad。予定より敵が多い,,,,
310,Fade,0,1,0.5,PortraitRight,Black,
320,Fade,1,0,0,PortraitRight,Alpha,
330,Fade,1,0,0,PortraitRight,Black,
340,Fade,1,0,0.3,Text,Alpha,
350,Fade,0,1,0,Black,Alpha,
360,Fade,1,0,0,Black,Alpha,
370,Fade,0,1,0.3,Text,Alpha,
380,Fade,0,1,0,PortraitLeft,Alpha,
390,Fade,1,0,0.5,PortraitLeft,Black,
400,Text,Prelude,多いってレベルじゃないよこれ！　RPGまで持ってきてる！,,,,
410,Fade,1,0,0,PortraitLeft,Alpha,
420,Fade,0,1,0,PortraitRight,Alpha,
430,Text,Triad,泣き言を言うな、Prelude,,,,
440,Fade,1,0,0,PortraitRight,Alpha,
450,Fade,0,1,0,PortraitLeft,Alpha,
460,Text,Prelude,そ、それはそうだけどぉ！,,,,
470,Fade,1,0,0,PortraitLeft,Alpha,
480,Portrait,Right,Symphony,0,-90,1,TRUE
490,Fade,0,1,0,PortraitRight,Alpha,
500,Text,Symphony,前方、増援,,,,
510,Fade,0,1,0.5,PortraitRight,Black,
520,Fade,1,0,0,PortraitRight,Alpha,
530,Fade,1,0,0,PortraitRight,Black,
540,Fade,0,0.5,0,Black,Alpha,
550,Text,,彼女の視線の先。,,,,
560,Text,,武装勢力が路地から一斉に飛び出してくる。,,,,
570,Fade,1,0,0,Black,Alpha,
580,Text,敵兵,撃てぇぇぇ！！,,,,
590,Fade,0,0.5,0,Black,Alpha,
600,Text,,激しい銃撃。,,,,
610,Text,,コンクリート片が弾け飛ぶ。,,,,
620,Fade,1,0,0,Black,Alpha,
630,Fade,1,0,0.3,Text,Alpha,
640,Fade,0,1,0.5,Black,Alpha,
650,Fade,1,0,0.5,Black,Alpha,
660,Fade,0,1,0.3,Text,Alpha,
670,Fade,0,1,0,PortraitLeft,Alpha,
680,Fade,1,1,0,PortraitLeft,Black,
690,Fade,1,0,0.5,PortraitLeft,Black,
700,Text,Prelude,Symphony！？　大丈夫か！,,,,
710,Fade,1,0,0,PortraitLeft,Alpha,
720,Portrait,Right,Symphony,0,-90,1,TRUE
730,Fade,0,1,0,PortraitRight,Alpha,
745,Fade,1,0,0.5,PortraitRight,Black,
740,Text,Symphony,問題ない,,,,
750,Fade,1,0,0.2,PortraitRight,Alpha,
760,Fade,0,0.5,0,Black,Alpha,
770,Text,,彼女はヘッドセットへ指を添える。,,,,
780,Fade,1,0,0,Black,Alpha,
790,Fade,0,1,0.2,PortraitRight,Alpha,
800,Text,Symphony,kill Chord……起動,,,,
810,Fade,0,0.8,0,Black,,
820,Fade,1,0,0.2,PortraitRight,,
830,Text,,《Neural Sync：START》,,,,
840,Text,,《Adrenaline Control：ACTIVE》,,,,
850,Text,,《Combat Rhythm Loaded》,,,,
