10,Fade,0,1,0,Black,,
20,Fade,1,0,0,BackGround,,
30,Background,OutdoorsInCity,,,,,
40,Fade,0,1,1,BackGround,,
50,Portrait,Left,Prelude,0,-90,1,TRUE
60,Portrait,Center,Symphony,0,-90,1,TRUE
70,Portrait,Right,TextBox,0,0,2.75,TRUE
80,Fade,1,0,0,Text,,
90,Fade,1,0,0,PortraitCenter,,
100,Fade,1,0,0,PortraitLeft,,
110,Fade,1,0,0,PortraitRight,,
130,Fade,0,1,1,Text,,
140,Fade,0,0.8,1,PortraitRight,,
150,Text,,〇中東国境地帯 廃市街,,,,
160,Text,,無数の崩壊した住居の隙間を、砂嵐が吹き抜ける。,,,,
170,Text,,瓦礫や薬莢が散らばった荒道の傍らで大破する戦車。,,,,
180,Text,,至る所で銃声が鳴り響く。,,,,
190,Text,,PMC《ZeroDivide》は今日も戦場にいた。,,,,
200,Text,,連邦製装甲車の陰で、黒いヘッドセットを装着した少女が静かに弾倉を叩き込む。,,,,
210,Fade,0,1,0.2,PortraitCenter,,
220,Text,,彼女のコードネームはSymphony。,,,,
230,Text,,正式名称、被検体13号。,,,,
240,Text,,かつてOKB-713――旧連邦秘密設計局にて生み出された、人造人間だった。,,,,
250,Text,,通信機にノイズが走る。,,,,
260,Fade,1,0,0.2,PortraitCenter,,
270,Portrait,Center,Triad,0,-90,1,TRUE
280,Fade,0,1,0.2,PortraitCenter,,
290,Text,Triad,こちらTriad。予定より敵が多い,,,,
300,Fade,1,0,0.2,PortraitCenter,,
310,Fade,0,1,0.2,PortraitLeft,,
320,Text,Prelude,多いってレベルじゃないよこれ！　RPGまで持ってきてる！,,,,
330,Fade,1,0,0.2,PortraitLeft,,
340,Fade,0,1,0.2,PortraitCenter,,
350,Text,Triad,泣き言を言うな、Prelude,,,,
360,Fade,1,0,0.2,PortraitCenter,,
370,Fade,0,1,0.2,PortraitLeft,,
380,Text,Prelude,そ、それはそうだけどぉ！,,,,
390,Fade,1,0,0.2,PortraitLeft,,
400,Portrait,Center,Symphony,0,-90,1,TRUE
410,Fade,0,1,0.2,PortraitCenter,,
420,Text,Symphony,前方、増援,,,,
430,Fade,1,0,0.2,PortraitCenter,,
440,Text,,彼女の視線の先。,,,,
450,Text,,武装勢力が路地から一斉に飛び出してくる。,,,,
460,Portrait,Center,Enemy,0,-90,1,TRUE
470,Fade,0,1,0.2,PortraitCenter,,
480,Text,敵兵,撃てぇぇぇ！！,,,,
490,Fade,1,0,0.2,PortraitCenter,,
500,Text,,激しい銃撃。,,,,
510,Text,,コンクリート片が弾け飛ぶ。,,,,
520,Fade,0,1,0.2,PortraitLeft,,
530,Text,Prelude,Symphony！？　大丈夫か！,,,,
540,Fade,1,0,0.2,PortraitLeft,,
550,Portrait,Center,Symphony,0,-90,1,TRUE
560,Fade,0,1,0.2,PortraitCenter,,
570,Text,Symphony,問題ない,,,,
580,Fade,1,0,0.2,PortraitCenter,,
590,Text,,彼女はヘッドセットへ指を添える。,,,,
600,Fade,0,1,0.2,PortraitCenter,,
610,Text,Symphony,kill Chord……起動,,,,
620,Fade,1,0,0.2,PortraitCenter,,
630,Text,,《Neural Sync：START》,,,,
640,Text,,《Adrenaline Control：ACTIVE》,,,,
650,Text,,《Combat Rhythm Loaded》,,,,
660,Text,,♪――――,,,,
670,Text,,瞬間。,,,,
680,Text,,Symphonyの瞳が赤く染まる。,,,,
690,Text,,地面を蹴る。,,,,
700,Text,,――速い。,,,,
710,Portrait,Center,Enemy,0,-90,1,TRUE
720,Fade,0,1,0.2,PortraitCenter,,
730,Text,敵兵,な！？,,,,
740,Fade,1,0,0.2,PortraitCenter,,
750,Text,,一瞬で間合いへ侵入するSymphony。,,,,
760,Text,,両手のハンドガンが火を噴く。,,,,
770,Text,,2発。4発。6発。,,,,
780,Text,,8発。10発。12発。,,,,
790,Fade,0,1,0.2,PortraitCenter,,
800,Text,敵兵,うあぁぁ！！,,,,
810,Fade,1,0,0.2,PortraitCenter,,
820,Text,,敵兵が次々と倒れていく。,,,,
830,Fade,0,1,0.2,PortraitLeft,,
840,Text,Prelude,やばい……始まっちゃったよ,,,,
850,Fade,1,0,0.2,PortraitLeft,,
860,Portrait,Center,Triad,0,-90,1,TRUE
870,Fade,0,1,0.2,PortraitCenter,,
880,Text,Triad,……こうなっては、もうSymphonyを止められる者は居ない,,,,
890,Fade,1,0,0.2,PortraitCenter,,
900,Portrait,Center,Symphony,0,-90,1,TRUE
910,Fade,0,1,0.2,PortraitCenter,,
920,Text,Symphony,敵を制圧する,,,,
930,Fade,1,0,0.2,PortraitCenter,,
940,Portrait,Center,Enemy,0,-90,1,TRUE
950,Fade,0,1,0.2,PortraitCenter,,
960,Text,敵兵,化け物だ……！,,,,
970,Fade,1,0,0.2,PortraitCenter,,
980,Portrait,Center,Symphony,0,-90,1,TRUE
990,Fade,0,1,0.2,PortraitCenter,,
1000,Text,Symphony,……,,,,
1010,Fade,1,0,0.2,PortraitCenter,,
1020,Text,,彼女は答えない。感情を殺したような無機質な顔で、的確に引き金を引き続ける。,,,,
1030,Text,,躊躇も、同情も、罪悪感もなにもない。,,,,
1040,Text,,あるのは、復讐心。それだけだ。,,,,
1050,Text,,Symphonyはただ、戦場のリズムに乗って、優雅に舞い踊る。,,,,
1060,Text,,♪――――,,,,
1070,Portrait,Center,Enemy,0,-90,1,TRUE
1080,Fade,0,1,0.2,PortraitCenter,,
1090,Text,敵兵,回り込め！　包囲しろ！！,,,,
1100,Fade,1,0,0.2,PortraitCenter,,
1110,Fade,0,1,0.2,PortraitLeft,,
1120,Text,Prelude,ちょ、本当にやばいってSymphony！,,,,
1130,Fade,1,0,0.2,PortraitLeft,,
1140,Portrait,Center,Triad,0,-90,1,TRUE
1150,Fade,0,1,0.2,PortraitCenter,,
1160,Text,Triad,攻撃を中止するんだ、Symphony。これは命令だ,,,,
1170,Fade,1,0,0.2,PortraitCenter,,
1180,Text,,無線が飛び交う。,,,,
1190,Text,,だが、Symphonyだけは静かだった。,,,,
1200,Text,,銃声の中を歩く。,,,,
1210,Text,,まるで音楽に合わせるように。,,,,
1220,Text,,彼女の周りに、ばたばたと人が倒れていく。もはや、増援の意味を成していない。,,,,
1230,Text,,懐に入られた最後の敵兵がナイフを構え、彼女の心臓へ向かって刃先を突き刺した。,,,,
1240,Portrait,Center,Symphony,0,-90,1,TRUE
1250,Fade,0,1,0.2,PortraitCenter,,
1260,Text,Symphony,ねぇ、刺さってないけど,,,,
1270,Fade,1,0,0.2,PortraitCenter,,
1280,Text,,――ッ！,,,,
1290,Text,,一瞬。,,,,
1300,Text,,敵兵の喉から血が噴き出す。,,,,
1310,Text,,Symphonyは、ディザームした用無しのナイフをその場に放り捨てた。,,,,
1320,Portrait,Center,Triad,0,-90,1,TRUE
1330,Fade,0,1,0.2,PortraitCenter,,
1340,Text,Triad,全く……なんて奴だ、無茶しやがる,,,,
1350,Fade,1,0,0.2,PortraitCenter,,
1360,Fade,0,1,0.2,PortraitLeft,,
1370,Text,Prelude,毎回思うけどさぁ……,,,,
1400,Text,Prelude,キミってほんと人間辞めてるよね,,,,
1410,Fade,1,0,0.2,PortraitLeft,,
1420,Portrait,Center,Symphony,0,-90,1,TRUE
1430,Fade,0,1,0.2,PortraitCenter,,
1440,Text,Symphony,元から人間じゃない,,,,
1450,Fade,1,0,0.2,PortraitCenter,,
1460,Text,,その言葉に、一瞬だけ無線が静かになる。,,,,
1470,Portrait,Center,Triad,0,-90,1,TRUE
1480,Fade,0,1,0.2,PortraitCenter,,
1490,Text,Triad,……,,,,
1500,Fade,1,0,0.2,PortraitCenter,,
1510,Fade,0,1,0.2,PortraitCenter,,
1520,Text,Triad,お前はZeroDivideの仲間だ。それ以上でも以下でもない,,,,
1530,Fade,1,0,0.2,PortraitCenter,,
1540,Portrait,Center,Symphony,0,-90,1,TRUE
1550,Fade,0,1,0.2,PortraitCenter,,
1560,Text,Symphony,……了解,,,,
1570,Fade,1,0,0.2,PortraitCenter,,
1580,Text,,だがその返答はどこか冷たい。,,,,
1590,Text,,戦闘終了を知らせるように、最後の敵兵が崩れ落ちる。,,,,
1600,Fade,0,1,0.2,PortraitCenter,,
1610,Text,Symphony,エリア、制圧完了,,,,
1620,Fade,1,0,0.2,PortraitCenter,,
1630,Portrait,Center,Triad,0,-90,1,TRUE
1640,Fade,0,1,0.2,PortraitCenter,,
1650,Text,Triad,依頼人へ回線を繋ぐ,,,,
1660,Fade,1,0,0.2,PortraitCenter,,
1670,Text,,通信機の向こうから男の声が聞こえる。,,,,
1680,Portrait,Center,依頼人,0,-90,1,TRUE
1690,Fade,0,1,0.2,PortraitCenter,,
1700,Text,依頼人,……流石だ、ZeroDivide,,,,
1710,Fade,1,0,0.2,PortraitCenter,,
1720,Portrait,Center,Triad,0,-90,1,TRUE
1730,Fade,0,1,0.2,PortraitCenter,,
1740,Text,Triad,予定通り報酬を貰おう,,,,
1750,Fade,1,0,0.2,PortraitCenter,,
1760,Portrait,Center,依頼人,0,-90,1,TRUE
1770,Fade,0,1,0.2,PortraitCenter,,
1780,Text,依頼人,ああ、料金は既に振り込み済みだ,,,,
1790,Fade,1,0,0.2,PortraitCenter,,
1800,Portrait,Center,Triad,0,-90,1,TRUE
1810,Fade,0,1,0.2,PortraitCenter,,
1820,Text,Triad,よし、撤退するぞ,,,,
1830,Fade,1,0,0.2,PortraitCenter,,
1840,Portrait,Center,依頼人,0,-90,1,TRUE
1850,Fade,0,1,0.2,PortraitCenter,,
1860,Text,依頼人,それと…これは独り言と思って貰ってよいのだが、君たちには必要な情報だろう,,,,
1870,Fade,1,0,0.2,PortraitCenter,,
